"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89"
"HOTAIRM1_lnRNA",0.529576778411865,-0.672950267791748,-0.411812543869019,-0.0815012231469154,-0.0788801908493042,-0.418250411748886,-0.513150930404663,-0.897996842861176,0.630591571331024,-0.624726712703705,0.849330842494965,1.03512811660767,-0.559305131435394,5.37183237075806,-0.0774929225444794,-0.809194922447205,-1.23497331142426,-0.546438217163086,-0.346953272819519,1.14075088500977,-0.889917492866516,-0.398386836051941,-1.09849011898041,-0.47180849313736,-0.29062482714653,-0.566747665405273,0.0124244671314955,-0.958399653434753,-0.521501004695892,0.398802071809769,-0.0670100376009941,-1.01261711120605,-0.914520919322968,-0.758782923221588,3.74186754226685,-0.619566857814789,-0.93094676733017,-0.692965030670166,-1.13129138946533,-0.595192611217499,-0.45501235127449,-0.209854573011398,-1.05854856967926,-0.564667999744415,-1.15932261943817,-0.662662327289581,-0.481553018093109,-0.624991297721863,-0.983341693878174,-0.0732636377215385,-0.374100804328918,0.364663690328598,-0.536363840103149,-0.511533856391907,-0.99066960811615,-0.592349767684937,-0.725766837596893,-0.453481614589691,0.583293497562408,-0.305197834968567,0.355227410793304,0.223759859800339,-0.885155081748962,-0.807101488113403,0.992026329040527,0.218524068593979,-1.12468230724335,-0.436982780694962,0.5484699010849,-0.234722003340721,0.0699561983346939,-0.839677631855011,-0.0454302094876766,-0.564750671386719,-0.655375242233276,-0.248435944318771,0.950976967811584,0.379405409097672,-0.669860064983368,-0.559632658958435,0.32378488779068,-0.216572031378746,-0.919530153274536,0.118688642978668,0.335273504257202,0.0503219999372959,-0.237474888563156,0.393068909645081,0.629197180271149
"LINC-ROR",-0.02466238476336,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.0388154685497284,-0.267264664173126,-0.0720176249742508,-0.267264664173126,0.0156009765341878,-0.267264664173126,-0.267264664173126,-0.0236722100526094,-0.267264664173126,-0.010027521289885,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,0.0215078685432673,-0.267264664173126,-0.267264664173126,1.3890141248703,-0.267264664173126,0.0489397197961807,-0.267264664173126,-0.267264664173126,-0.0633765608072281,0.278012454509735,-0.267264664173126,-0.267264664173126,0.698415994644165,-0.0417298264801502,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,12.3863830566406,-0.0884372368454933,-0.267264664173126,-0.267264664173126,0.141839981079102,1.48932898044586,-0.267264664173126,0.439592868089676,0.413123577833176,-0.267264664173126,0.100269854068756,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,0.249052792787552,0.00249027810059488,-0.267264664173126,-0.267264664173126,-0.267264664173126,0.0859542489051819,0.592622339725494,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,0.0687741115689278,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,0.0751211941242218,0.140613034367561,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.267264664173126,-0.105436123907566,-0.267264664173126,-0.267264664173126
"LINC00028",0.151518419384956,-0.316211432218552,-0.597855567932129,-0.379729360342026,-0.321975618600845,-0.597855567932129,-0.437089502811432,-0.477235913276672,-0.597855567932129,-0.423106878995895,-0.597855567932129,7.64566659927368,-0.146396055817604,0.873628854751587,-0.280023723840714,-0.0644343867897987,-0.317711770534515,6.17752647399902,0.257932156324387,-0.597855567932129,-0.252022951841354,0.115735828876495,1.07402801513672,-0.597855567932129,-0.597855567932129,-0.597855567932129,1.94162547588348,-0.597855567932129,-0.136514589190483,-0.345939666032791,-0.513640284538269,-0.597855567932129,-0.368445724248886,-0.150422036647797,0.377460569143295,1.25252020359039,-0.597855567932129,-0.332866072654724,-0.467961430549622,0.656707346439362,-0.597855567932129,-0.597855567932129,-0.325821816921234,-0.323645621538162,-0.218750670552254,-0.597855567932129,-0.332902431488037,-0.597855567932129,-0.387690514326096,-0.597855567932129,2.35386490821838,-0.597855567932129,-0.597855567932129,-0.378137975931168,-0.221157565712929,0.0984366536140442,-0.438370317220688,-0.597855567932129,1.95984303951263,0.604555666446686,-0.258753299713135,-0.161432519555092,-0.491611421108246,-0.597855567932129,-0.597855567932129,-0.346688389778137,-0.597855567932129,-0.187708377838135,0.453590482473373,-0.168211355805397,0.232536360621452,-0.465793699026108,-0.405561864376068,0.397302210330963,1.290078997612,-0.288868606090546,-0.46973443031311,-0.597855567932129,0.0556661523878574,0.248220771551132,-0.597855567932129,-0.0606482028961182,-0.597855567932129,-0.23606638610363,-0.164704591035843,-0.311591386795044,-0.497881174087524,-0.427886068820953,-0.017617279663682
"LINC00029",-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,0.372474908828735,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,0.428494691848755,-0.243422150611877,1.17568564414978,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,0.898733139038086,0.587222456932068,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,0.728380382061005,0.348162174224854,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,0.368746638298035,-0.243422150611877,-0.243422150611877,0.348080962896347,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,11.912353515625,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,1.27065742015839,4.62811088562012,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,0.672224104404449,3.27757930755615,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,-0.243422150611877,1.13619363307953,0.328634142875671,-0.243422150611877,-0.243422150611877,-0.243422150611877,0.319115579128265,0.356230735778809,-0.243422150611877,-0.243422150611877,-0.243422150611877,1.03473722934723,-0.243422150611877,-0.243422150611877,-0.243422150611877
"LINC00051",0.544227242469788,-0.433241546154022,0.642890512943268,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,0.706452310085297,-0.433241546154022,-0.433241546154022,0.548216700553894,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,0.730251789093018,-0.433241546154022,0.914999485015869,-0.433241546154022,-0.433241546154022,-0.433241546154022,1.57547736167908,4.07998943328857,-0.433241546154022,0.665246367454529,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,1.00778543949127,-0.433241546154022,0.460943698883057,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,3.83622121810913,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022,0.920692205429077,-0.433241546154022,-0.433241546154022,-0.433241546154022,0.513906478881836,0.574349880218506,1.23794555664062,0.808231830596924,0.987493395805359,2.32577204704285,-0.433241546154022,-0.433241546154022,-0.433241546154022,0.746535301208496,1.45007073879242,-0.433241546154022,-0.433241546154022,-0.433241546154022,-0.433241546154022
"LINC00052",-0.148361414670944,-0.148361414670944,-0.148361414670944,-0.139155447483063,-0.148361414670944,-0.148361414670944,-0.13479121029377,-0.148361414670944,-0.137246906757355,-0.13361094892025,-0.148361414670944,-0.148361414670944,-0.148361414670944,-0.135940670967102,-0.141654402017593,-0.035796731710434,-0.148361414670944,-0.148361414670944,-0.112243063747883,-0.134595289826393,-0.148361414670944,-0.125773683190346,-0.148361414670944,-0.122187033295631,0.456223219633102,-0.0855484679341316,-0.0947722643613815,-0.0703679844737053,-0.148361414670944,-0.143045380711555,-0.137698546051979,3.40407109260559,-0.148361414670944,-0.148361414670944,-0.148361414670944,1.38099408149719,-0.148361414670944,-0.148361414670944,-0.148361414670944,-0.148361414670944,-0.148361414670944,0.0334806516766548,-0.108177453279495,-0.00948568619787693,-0.148361414670944,0.0479249581694603,-0.148361414670944,0.662562668323517,1.12891507148743,0.601671874523163,-0.138778582215309,3.73276400566101,-0.148361414670944,-0.148361414670944,-0.148361414670944,-0.148361414670944,-0.148361414670944,0.140007793903351,-0.134868025779724,-0.148361414670944,-0.148361414670944,-0.102313540875912,13.7610521316528,-0.148361414670944,-0.127882793545723,-0.148361414670944,-0.0617202967405319,-0.148361414670944,-0.148361414670944,-0.136272713541985,-0.148361414670944,-0.114919543266296,-0.148361414670944,-0.148361414670944,-0.148361414670944,-0.148361414670944,-0.148361414670944,-0.148361414670944,-0.148361414670944,-0.148361414670944,-0.14304406940937,-0.148361414670944,-0.130570501089096,-0.148361414670944,-0.148361414670944,-0.124197967350483,-0.148361414670944,-0.148361414670944,-0.13366810977459
"LINC00102",-0.60166871547699,-0.262211799621582,-0.203923270106316,-0.60166871547699,-0.60166871547699,0.0787359178066254,-0.60166871547699,0.270606100559235,1.30275595188141,-0.180430427193642,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.299218475818634,-0.60166871547699,1.75709772109985,-0.184847444295883,0.258400708436966,-0.235292509198189,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.60166871547699,0.819360315799713,-0.60166871547699,-0.0486676320433617,-0.60166871547699,-0.60166871547699,2.00023126602173,-0.60166871547699,0.0370984487235546,-0.60166871547699,-0.265649706125259,0.506777107715607,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.297053158283234,-0.227970585227013,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.0720311403274536,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.199954628944397,-0.60166871547699,-0.239361524581909,-0.60166871547699,-0.0756616294384003,-0.60166871547699,-0.60166871547699,-0.60166871547699,0.609227120876312,-0.60166871547699,-0.107331089675426,-0.60166871547699,-0.60166871547699,-0.60166871547699,-0.60166871547699,1.71598756313324,-0.60166871547699,0.0984754487872124,-0.229256331920624,1.25137615203857,1.233757853508,1.4987827539444,0.927955329418182,-0.60166871547699,-0.277929067611694,-0.60166871547699,3.7588632106781,0.0944157689809799,0.0883818939328194,1.32626783847809,-0.60166871547699,-0.60166871547699
"LINC00106",-0.299954801797867,-0.578265190124512,-0.775155305862427,-0.943423926830292,-0.571701526641846,0.213459625840187,0.459792673587799,-0.567174553871155,1.11907315254211,0.204895213246346,-0.653972089290619,-0.515115916728973,-0.793149650096893,-0.549197494983673,-0.175680488348007,0.574584305286407,1.75129067897797,-0.0182607211172581,-0.0948261991143227,-1.03796517848969,-0.977018654346466,-0.43123123049736,-0.985243082046509,-0.750380039215088,-0.380523562431335,0.724663913249969,-0.299702286720276,-0.0312699377536774,-0.860972285270691,1.27050757408142,0.2015540599823,-0.782240331172943,-0.500627756118774,-0.732759118080139,-0.685145258903503,-0.0739996582269669,-1.03779184818268,-0.121899165213108,-0.777681410312653,-0.204532653093338,-0.741117417812347,-0.17836806178093,-0.151156902313232,-0.792204976081848,0.081103153526783,-0.869148731231689,1.20945596694946,-1.00584673881531,-0.169126570224762,-1.18130457401276,-1.1600958108902,-0.834394216537476,-0.488042235374451,-0.0895728766918182,-1.19825494289398,-0.750410735607147,-0.492513626813889,2.67499160766602,-0.90395975112915,0.458010047674179,-0.00805689953267574,1.37523174285889,0.0103535521775484,0.600685179233551,0.0113416910171509,0.650008320808411,-0.862517535686493,-0.459721148014069,1.83186137676239,0.111319005489349,0.0564347505569458,0.102039590477943,-0.0932760909199715,-0.725188136100769,-0.370362848043442,1.28135764598846,0.411958694458008,0.305285751819611,1.15186190605164,0.0199025347828865,1.85001051425934,-0.627507209777832,-0.529248774051666,-0.575959444046021,-0.168008163571358,1.36418843269348,0.224528893828392,-0.883630096912384,-1.12532329559326
"LINC00111",-0.774007797241211,1.47158777713776,-0.774007797241211,-0.0783452019095421,0.545774221420288,-0.774007797241211,0.251443982124329,-0.774007797241211,1.74564492702484,0.34063246846199,-0.774007797241211,-0.774007797241211,0.665816903114319,2.9803569316864,-0.774007797241211,-0.774007797241211,-0.327281147241592,1.62693631649017,-0.228140771389008,0.266249060630798,-0.774007797241211,-0.774007797241211,-0.289273053407669,0.544595181941986,-0.774007797241211,0.412629723548889,2.34102368354797,-0.774007797241211,-0.774007797241211,0.431132704019547,-0.774007797241211,-0.774007797241211,-0.774007797241211,0.17731536924839,-0.774007797241211,-0.774007797241211,-0.774007797241211,-0.351446717977524,-0.774007797241211,-0.774007797241211,0.203679814934731,0.283004194498062,-0.774007797241211,0.537785112857819,0.838080942630768,1.20368027687073,1.33850765228271,-0.774007797241211,-0.103735379874706,0.20318765938282,2.12255311012268,-0.774007797241211,-0.774007797241211,0.627468228340149,1.62877285480499,-0.774007797241211,-0.265366792678833,-0.242519199848175,-0.774007797241211,0.18469463288784,0.307479739189148,-0.774007797241211,0.581356108188629,-0.302397638559341,-0.774007797241211,-0.774007797241211,0.736875295639038,-0.119973443448544,-0.774007797241211,-0.317257821559906,-0.774007797241211,0.0683531910181046,-0.774007797241211,1.6063597202301,-0.774007797241211,-0.774007797241211,-0.365395337343216,-0.166916593909264,-0.774007797241211,-0.774007797241211,0.431432634592056,-0.345683425664902,2.58698272705078,0.379834324121475,-0.774007797241211,0.138965010643005,-0.136317744851112,-0.774007797241211,-0.0337939895689487
"LINC00112",-0.69280594587326,0.76917952299118,-0.264549762010574,-0.126670718193054,0.0232261400669813,1.13868880271912,-0.275545924901962,-0.69280594587326,2.04120945930481,0.21429631114006,-0.69280594587326,-0.69280594587326,-0.302226036787033,-0.69280594587326,4.25669002532959,-0.000572475953958929,0.034292746335268,0.935448706150055,-0.69280594587326,-0.69280594587326,-0.69280594587326,-0.69280594587326,-0.298325330018997,0.380282640457153,-0.69280594587326,-0.69280594587326,-0.439302444458008,-0.69280594587326,-0.69280594587326,2.57636737823486,1.0558055639267,-0.69280594587326,-0.69280594587326,-0.69280594587326,0.753698170185089,0.10761970281601,-0.69280594587326,-0.69280594587326,-0.69280594587326,-0.69280594587326,-0.69280594587326,-0.119336634874344,-0.69280594587326,2.15398454666138,0.947105824947357,0.514286637306213,-0.69280594587326,-0.69280594587326,-0.147333428263664,-0.69280594587326,-0.69280594587326,-0.69280594587326,-0.69280594587326,-0.69280594587326,-0.69280594587326,-0.69280594587326,-0.69280594587326,0.604781746864319,-0.69280594587326,-0.69280594587326,-0.69280594587326,0.439907371997833,-0.417054712772369,-0.309006214141846,-0.69280594587326,-0.69280594587326,-0.69280594587326,0.903967618942261,0.671680748462677,0.422313272953033,-0.153996169567108,-0.69280594587326,-0.69280594587326,-0.69280594587326,-0.315880089998245,0.109153710305691,-0.0277424231171608,-0.69280594587326,-0.69280594587326,-0.69280594587326,3.88517570495605,-0.344232499599457,-0.69280594587326,-0.69280594587326,0.806155145168304,-0.69280594587326,-0.69280594587326,1.9540764093399,-0.0904146209359169
