"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89"
"AL513325.1",1.40052080154419,0.00791006721556187,-1.78068900108337,-2.3874032497406,5.57089948654175,4.30915069580078,-1.49307608604431,0.0402015671133995,-1.91491544246674,0.477225065231323,-4.762526512146,5.55474662780762,-0.200765267014503,-1.7046103477478,5.68768262863159,-4.03054761886597,-3.23323655128479,5.60893249511719,-0.697783470153809,-0.910450100898743,-0.171429842710495,-2.95758247375488,-3.87103724479675,-1.94156074523926,2.66104102134705,-0.51384961605072,2.50550842285156,-2.84974908828735,1.09534728527069,5.55257177352905,4.97763442993164,5.45360565185547,-0.934782207012177,4.82391834259033,5.4248685836792,0.300738602876663,5.10238695144653,-0.434549897909164,-1.72736942768097,5.3209023475647,2.36477208137512,-0.523563027381897,5.4663143157959,5.78679752349854,-2.89325070381165,5.44837808609009,-0.10241936147213,0.576525568962097,5.98747158050537,-0.620561897754669,-3.09069991111755,-0.216413423418999,4.05329465866089,-2.35470390319824,5.51095485687256,-1.16483151912689,5.8701868057251,-0.0280566643923521,0.093493826687336,1.66955316066742,0.147586584091187,0.52995091676712,5.84749841690063,5.7415976524353,0.644880056381226,0.862564384937286,-1.4986035823822,4.23577928543091,3.28957009315491,5.50254535675049,5.7494854927063,5.63113641738892,5.46944999694824,5.61679172515869,5.49572610855103,5.38471651077271,5.4447603225708,5.70622205734253,5.22315645217896,5.27804613113403,5.47192192077637,5.64064264297485,5.45763921737671,5.47684335708618,5.33988046646118,5.18428564071655,5.31685018539429,5.21501588821411,5.52325391769409
"AC067930.5",2.05209827423096,0.590337991714478,0.524029076099396,-6.2099289894104,-6.00567245483398,-6.03882884979248,-2.47360587120056,-0.717966556549072,-6.05132675170898,-5.87559366226196,-5.8360710144043,0.98992931842804,-2.43979811668396,0.172005251049995,-5.29336309432983,3.45171403884888,-6.16468667984009,0.716230094432831,-6.15497016906738,-6.49980974197388,-6.45036602020264,-6.36362504959106,-6.06527328491211,1.41049659252167,-0.375500112771988,-5.73293447494507,-6.18948173522949,-6.78851985931396,-6.34902811050415,-1.60944283008575,-6.0585675239563,-5.93406772613525,0.363061875104904,-6.26206064224243,-6.14324522018433,1.14786207675934,0.66513329744339,0.278790920972824,2.6008152961731,1.0628457069397,0.649972558021545,-6.6250319480896,-6.22932481765747,1.47845506668091,-5.92993640899658,-5.979332447052,-5.71918916702271,0.483609586954117,-6.50072813034058,-0.458564519882202,-6.20282316207886,-5.11231756210327,0.830912113189697,-6.429114818573,-6.52876472473145,-2.14167618751526,0.227927163243294,0.491594851016998,0.23167097568512,0.990529298782349,0.36068058013916,-6.50028991699219,-0.341502577066422,-5.68935775756836,-5.94175004959106,-0.512478590011597,-5.72297811508179,-5.99137926101685,0.309557348489761,-6.34440279006958,-6.52298450469971,-6.15261459350586,-5.90184926986694,-6.33932876586914,-1.4049334526062,0.502535998821259,-0.157602474093437,-0.575564563274384,-5.73860836029053,-1.03592145442963,-5.50501441955566,-1.18335735797882,-0.362506836652756,0.352317273616791,-0.337300181388855,-5.7878475189209,-6.10190773010254,-6.25461912155151,-6.25100564956665
"H2AC5P",-6.24649477005005,-1.16315340995789,0.904413342475891,-5.4328408241272,-6.29256582260132,-5.9726357460022,1.17603552341461,-6.19335317611694,-2.78191304206848,-5.78951072692871,-6.09825134277344,-6.21874809265137,0.4112908244133,-1.07523512840271,-6.05568742752075,-2.42725896835327,3.75714635848999,-1.5984354019165,-1.58462023735046,-0.139539152383804,-5.90477466583252,-6.66311645507812,-5.76631450653076,2.68691492080688,-5.97149133682251,-5.97354555130005,-5.82504844665527,1.22614622116089,-5.12984657287598,0.191755637526512,-5.10324573516846,-1.03518986701965,0.0768271535634995,-6.23342323303223,-6.03136873245239,1.44426965713501,-0.455061376094818,0.12347050756216,0.561859965324402,-6.07171630859375,-6.20406293869019,-0.192800492048264,0.360407412052155,-0.178766414523125,0.46397191286087,-5.87888526916504,-5.56091403961182,-1.1848806142807,0.644537627696991,-5.88358640670776,1.7750631570816,-6.0369815826416,-6.61013412475586,-6.63302659988403,0.169227883219719,-6.46639347076416,-4.2868504524231,-5.68955755233765,-0.89019775390625,0.766927719116211,-5.30744171142578,-0.194846451282501,0.00358591554686427,-0.497535169124603,-2.08553457260132,-1.64764380455017,1.24524807929993,0.271602839231491,-4.78494596481323,-6.08129167556763,-6.54166460037231,-5.07781648635864,-5.3898549079895,-5.81352996826172,-5.97216892242432,-6.14755439758301,-6.04457998275757,-5.66771173477173,-5.81044578552246,-6.06579160690308,-5.66763067245483,-5.6331582069397,-6.11306428909302,-5.95533752441406,-5.41325759887695,-6.22685194015503,-5.52662563323975,-6.12031269073486,-6.14615297317505
"GSTM1_Methylation",4.89752006530762,NA,-4.58720779418945,NA,-4.01100540161133,-0.939495503902435,-0.830592632293701,-2.94428563117981,-2.03278994560242,-1.89478611946106,-1.93666863441467,NA,-1.7397449016571,1.10721409320831,-4.81032466888428,-2.92014050483704,-1.45164453983307,1.06865251064301,-4.95133638381958,-0.891427457332611,-4.4796404838562,NA,-1.16923105716705,4.4367618560791,NA,-0.18605449795723,-2.8399670124054,NA,-4.53149366378784,-3.93754100799561,-4.30210447311401,-2.80807638168335,NA,-0.279047846794128,-4.46482181549072,3.29542827606201,-2.62023544311523,-1.74007833003998,3.81737804412842,NA,NA,3.27006244659424,3.4247739315033,2.72848200798035,1.65423250198364,4.01208162307739,-1.81681346893311,NA,-4.43928527832031,NA,NA,-3.23049187660217,NA,0.778671264648438,-1.20698618888855,-2.6890823841095,-0.254883706569672,-3.289874792099,-0.700655579566956,1.52577936649323,3.17306208610535,-1.10357940196991,3.25601887702942,2.24579429626465,-1.45363116264343,-4.72817945480347,3.26704382896423,0.385854214429855,NA,-4.52369403839111,NA,-5.00335597991943,NA,NA,NA,-5.26931762695312,NA,NA,-4.40218734741211,-4.55396366119385,NA,NA,NA,-5.23698139190674,-3.61961340904236,3.36341333389282,NA,-4.63988542556763,NA
"LRRIQ4",0.263408839702606,0.631791889667511,-0.277019798755646,0.552383303642273,6.42862892150879,5.93010807037354,0.243959754705429,6.10765600204468,5.67344045639038,0.129912003874779,1.2182549238205,2.86902403831482,0.069435678422451,0.544601917266846,6.5016827583313,-1.28391528129578,-1.33350098133087,0.87104743719101,0.148097202181816,6.57440614700317,0.188111737370491,6.45713329315186,-1.43913722038269,6.07556629180908,0.949301242828369,6.77836322784424,-0.0543323568999767,0.344087898731232,1.78168714046478,-0.173073813319206,6.16082429885864,6.30293846130371,6.29158353805542,1.07133567333221,6.36747598648071,-0.961666166782379,5.72540950775146,-0.203430876135826,6.07268571853638,5.92792415618896,5.96628475189209,6.40062761306763,6.42648649215698,-0.412906795740128,0.353439271450043,6.24284410476685,5.78759431838989,5.96725702285767,6.46097755432129,0.09330765157938,5.77970933914185,0.460670202970505,1.07573342323303,-0.454730868339539,6.40048694610596,6.13284015655518,1.20484232902527,0.218366414308548,0.578176021575928,1.18261480331421,0.130899369716644,0.952953994274139,0.509386479854584,6.13125801086426,5.5510311126709,1.16197943687439,-0.625350058078766,5.97082233428955,5.34260082244873,6.75984811782837,6.03344440460205,6.5035080909729,5.61002397537231,6.63023614883423,6.12432193756104,6.36264085769653,6.29034423828125,6.18271636962891,6.12173128128052,6.29232788085938,5.96913576126099,4.35340118408203,6.51280975341797,6.52648735046387,5.95569658279419,6.43384075164795,6.21873569488525,6.3973274230957,6.10112047195435
"SMPD5",3.33873462677002,-5.49521493911743,1.4058438539505,2.15150380134583,-2.3973114490509,0.510782182216644,1.26144134998322,0.37809282541275,-4.84468555450439,-5.12329196929932,-5.64841222763062,-6.10057067871094,-1.24309313297272,1.3840925693512,-5.47776889801025,0.195998325943947,2.76796317100525,0.729868173599243,-5.92050170898438,-0.663142681121826,-5.87973880767822,-1.38711225986481,0.802435100078583,1.38334178924561,-0.0619068406522274,-6.22677135467529,-5.64945411682129,-6.28438520431519,-1.03554081916809,-6.01236391067505,-0.249645739793777,0.766685128211975,0.873817920684814,-2.46812653541565,-1.19525265693665,0.973536968231201,-0.232787922024727,0.46973392367363,-0.107981607317924,0.235827386379242,1.32806932926178,0.296096712350845,0.621113896369934,1.19418501853943,-5.66186046600342,-5.62777471542358,-5.6758246421814,-5.54852342605591,1.50306296348572,0.344143718481064,2.17682838439941,0.773628413677216,0.12469395250082,-6.09807157516479,-5.12692975997925,-6.15761518478394,-0.377560675144196,0.20625813305378,-6.14358472824097,-0.97589248418808,0.328994154930115,-0.140955492854118,0.0692028254270554,-5.80585670471191,-0.319193720817566,-0.00352113111875951,-5.36230754852295,-5.46193742752075,-3.84400033950806,0.137705653905869,-5.36230945587158,0.0322424955666065,-4.85089874267578,-3.70097398757935,-5.78329610824585,-4.82984685897827,-5.39081048965454,-3.80700421333313,-5.60512399673462,-5.5073184967041,-4.64257287979126,-4.59771108627319,-2.36548757553101,-4.13511896133423,-5.03144359588623,-5.66705226898193,-4.3870906829834,-2.25728678703308,-5.59738683700562
"LINC01956_Methylation",4.85202646255493,-5.94378471374512,-0.201922819018364,0.973093628883362,-6.31319856643677,0.638223946094513,0.549247980117798,-5.72515487670898,-0.379184901714325,-5.52456140518188,-6.29707145690918,-6.38813018798828,-1.1690948009491,-6.48166084289551,-6.00165319442749,1.9411780834198,-0.199340388178825,-5.88436079025269,-6.26283121109009,-0.743130683898926,-6.08990573883057,-6.03801870346069,-0.00637256819754839,0.750747382640839,-1.22067725658417,0.272246509790421,-6.4421648979187,-0.435352355241776,-1.90337824821472,-6.39431619644165,-6.18178224563599,-6.17273807525635,-0.139539450407028,-0.121731981635094,-4.24431896209717,0.922682702541351,-0.877755761146545,-6.29687356948853,-0.471679031848907,-2.10239815711975,-5.33597421646118,-6.366051197052,-0.44828400015831,0.406795233488083,-6.15826034545898,-6.05273914337158,-3.21121215820312,-5.95255756378174,-6.51494598388672,-6.45542573928833,-6.41000890731812,-6.23228216171265,-5.39962387084961,-5.9441237449646,-6.61456441879272,-6.08510684967041,-5.84472513198853,-5.68046951293945,-5.62854957580566,0.458783835172653,-6.02503204345703,-0.0871292501688004,-0.037757869809866,-6.1069917678833,-5.86249685287476,-5.72422075271606,0.706554114818573,-0.328352242708206,-4.95340633392334,-4.22359943389893,-6.26719760894775,-5.67652988433838,-6.29107570648193,-6.34680652618408,-5.99646186828613,-6.1666145324707,-6.29084062576294,-6.26787710189819,-6.16127109527588,-6.46145296096802,-5.8366436958313,-6.34600734710693,-6.27824831008911,-6.32970476150513,-6.09822416305542,-6.08706665039062,-6.23582077026367,-6.3203911781311,-6.21430206298828
"ADCY8_Methylation",3.33398461341858,-5.62088441848755,-6.24475574493408,-5.6426477432251,-6.29931831359863,-4.85233879089355,-0.61845201253891,-4.87543487548828,-3.66705822944641,-5.16584825515747,-6.02100706100464,-6.3202109336853,0.281329780817032,1.40813529491425,-5.45925569534302,2.80900239944458,-5.97050619125366,-5.03721904754639,0.980895042419434,0.486139863729477,0.590474009513855,1.87799501419067,1.09463942050934,-6.58720731735229,-0.413428843021393,0.200667977333069,-5.29948139190674,1.71739172935486,0.14039920270443,0.657138764858246,-2.13726401329041,0.480283826589584,0.665978372097015,0.697778820991516,-2.29038286209106,-0.304517239332199,-0.193245366215706,-4.59903955459595,-6.01112222671509,-2.40065884590149,-2.67975234985352,-0.620236039161682,-6.26584529876709,-5.47095727920532,-2.63467454910278,-0.78717303276062,-5.25609445571899,0.193721666932106,1.00300443172455,-2.5338978767395,0.938810229301453,-6.13759756088257,0.235479220747948,-2.35862112045288,0.236590668559074,-0.593853950500488,-5.45743560791016,-1.31578481197357,0.757787346839905,0.250611543655396,-0.765075206756592,-0.288754373788834,-1.44654381275177,1.52112662792206,-0.381248712539673,-0.936847031116486,1.29616463184357,-5.44722604751587,-2.09708070755005,-4.09202814102173,-6.01113414764404,-5.23516654968262,-6.18313884735107,-5.59575271606445,-6.00953960418701,-5.64426136016846,-5.9519214630127,-5.51863670349121,-6.170982837677,-6.11439561843872,-4.10121250152588,-5.0881175994873,-5.38838958740234,-4.30368614196777,-5.51942348480225,-5.63930177688599,-6.14996528625488,-5.42142343521118,-6.06680774688721
"CALN1",0.739848613739014,-5.5200343132019,-6.16373920440674,1.04055500030518,-6.10309457778931,-4.77113580703735,-0.313340485095978,-2.23465585708618,0.268753498792648,-0.45130455493927,2.45292901992798,-6.23043537139893,0.203591704368591,-0.501108527183533,-5.23719692230225,1.51876401901245,0.356414377689362,-6.02464008331299,-0.579341053962708,0.459836363792419,0.747056782245636,1.74508821964264,1.15069437026978,-6.04159688949585,-0.609529912471771,0.654530704021454,-5.83955192565918,1.24038314819336,0.0403846018016338,0.124994680285454,-0.957135796546936,0.908733069896698,0.51985502243042,0.477631598711014,-0.563711822032928,-0.497915893793106,-0.0398918762803078,-4.63537549972534,-1.20426046848297,0.181288942694664,0.7798792719841,-0.305175691843033,-0.21198233962059,-5.9313702583313,0.653901755809784,-3.86645674705505,-0.83001571893692,0.310067147016525,1.08525109291077,0.502736330032349,1.3890186548233,-5.86751413345337,0.0112165389582515,-3.69218707084656,-5.71972894668579,-6.2619948387146,0.0683732107281685,0.233533069491386,0.223682463169098,0.277102947235107,-0.395616382360458,-1.28668749332428,0.364457964897156,1.53776073455811,-0.179775089025497,-4.51976203918457,0.831648170948029,0.00363762816414237,-1.6563047170639,-3.44187307357788,-5.27642393112183,-5.75849914550781,-5.61618089675903,-5.62519788742065,-6.263099193573,-6.14599084854126,-5.43290281295776,-5.40142440795898,-6.27037382125854,-6.27441024780273,-5.31052827835083,-5.00019502639771,-4.40926074981689,-4.47042274475098,-5.97134304046631,-4.16150236129761,-5.98933267593384,-5.43032646179199,-5.47668838500977
"AC067930.1",1.23579370975494,0.116393201053143,-0.0264787171036005,-6.12497854232788,-6.35643291473389,-5.69299364089966,-5.30596542358398,-1.01607120037079,-5.54993867874146,-5.73261308670044,-5.93947601318359,0.491116791963577,-5.08853530883789,-0.891764640808105,-4.42210817337036,2.95103549957275,-6.01817798614502,0.0736847147345543,-6.21329736709595,-6.15023756027222,-6.27735424041748,-6.33713293075562,-6.1154522895813,0.671182155609131,-1.44197285175323,-6.08852100372314,-5.87718868255615,-6.14008474349976,-6.06597137451172,-2.78085398674011,-6.27934885025024,-6.17485475540161,-0.351756602525711,-5.66488075256348,-6.05047750473022,0.646120548248291,-0.100651890039444,0.165825396776199,1.21568167209625,0.132941141724586,0.41142612695694,-6.29403448104858,-6.19743537902832,0.808357536792755,-6.01305818557739,-5.92952823638916,-6.38859510421753,0.106874875724316,-6.14715385437012,-0.489948481321335,-5.75446462631226,-5.7921667098999,0.00523862801492214,-6.17541599273682,-6.24014472961426,-5.45074892044067,-0.0442615263164043,-0.411098003387451,-0.531813263893127,0.397823870182037,-0.395166963338852,-6.04266023635864,-1.40430080890656,-5.90910148620605,-5.85010051727295,-1.55406630039215,-4.2919602394104,-5.6518702507019,-0.54746150970459,-6.30928087234497,-5.98495674133301,-6.11694240570068,-5.58328914642334,-6.33234882354736,-2.31094598770142,-0.387065291404724,-0.842629253864288,-1.03163552284241,-5.88473272323608,-1.60761415958405,-5.08174133300781,-1.2375316619873,-1.87357437610626,-0.409021973609924,-1.38190865516663,-6.05698204040527,-6.17729187011719,-6.15993595123291,-5.36169338226318
