"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89"
"hsa-let-7a-1",-1.27302765846252,-1.10085880756378,-0.971228718757629,-1.29609525203705,-0.094027541577816,-0.855254769325256,-0.837392508983612,-0.668612420558929,-1.03127932548523,0.558908462524414,-0.216692298650742,-0.153698042035103,-0.485048025846481,-1.20019471645355,1.50859308242798,-0.621822476387024,-0.89447945356369,0.973913431167603,0.0431974194943905,-0.906920969486237,-1.39318609237671,-0.17411695420742,-0.691664636135101,2.92585015296936,-0.949405431747437,-0.802994430065155,-1.12017202377319,-1.09886145591736,-1.09260630607605,-0.064935714006424,2.1371476650238,0.946764528751373,-1.31956851482391,0.171680301427841,0.462507635354996,-0.312636584043503,-0.0565963722765446,-0.448390245437622,0.993715047836304,-0.481620192527771,0.1932612657547,1.00346612930298,-1.401859998703,-0.474798411130905,2.97174859046936,3.15661931037903,1.03180873394012,-0.0180262718349695,-0.097069263458252,-1.01404440402985,-0.391305238008499,-1.12682712078094,-1.27061522006989,-0.164016306400299,-0.533034026622772,-0.967540383338928,-1.23352122306824,-0.884155929088593,-0.863104939460754,0.534384667873383,-0.721984028816223,-0.402330040931702,0.434946030378342,1.54426741600037,-0.0195533484220505,-1.08748173713684,0.14633022248745,-0.592768669128418,-0.812976539134979,-0.310866087675095,0.512290179729462,-0.549795091152191,-0.662622630596161,-0.961845099925995,-1.36705255508423,3.84442973136902,-0.352664709091187,1.25246477127075,-0.373498499393463,-0.850311696529388,0.440228939056396,-0.24359604716301,0.10999508202076,-0.456542879343033,0.2260931879282,0.1643395870924,0.992825984954834,-0.516293466091156,-0.0153757035732269
"hsa-let-7a-2",-1.25544834136963,-1.13208842277527,-0.984687685966492,-1.30935776233673,-0.0757284015417099,-0.860647916793823,-0.821879506111145,-0.64920711517334,-1.03979170322418,0.565897285938263,-0.237739562988281,-0.163035795092583,-0.502796590328217,-1.17985010147095,1.48194324970245,-0.657677233219147,-0.875250816345215,0.973293364048004,-6.08214540989138e-05,-0.89904797077179,-1.38600981235504,-0.187679454684258,-0.667765617370605,2.92797136306763,-0.96638435125351,-0.773272573947906,-1.11311507225037,-1.1124119758606,-1.1086174249649,-0.0499251782894135,2.14255356788635,0.957401812076569,-1.32471179962158,0.199829757213593,0.461035549640656,-0.311294138431549,-0.078072190284729,-0.438212215900421,0.987612783908844,-0.479840785264969,0.146765917539597,0.995742082595825,-1.38759195804596,-0.464066863059998,2.9857234954834,3.16175937652588,1.038853764534,-0.0386779233813286,-0.101297780871391,-0.995904743671417,-0.396281123161316,-1.11346733570099,-1.264777302742,-0.157764419913292,-0.530707120895386,-0.993535339832306,-1.23454427719116,-0.879339098930359,-0.870157837867737,0.519807159900665,-0.731653869152069,-0.384583294391632,0.436546981334686,1.53215944766998,-0.0446111522614956,-1.09063708782196,0.15177609026432,-0.612685143947601,-0.801790416240692,-0.309226304292679,0.504283368587494,-0.53600537776947,-0.679695665836334,-0.912229061126709,-1.36620891094208,3.86357259750366,-0.346909493207932,1.26095545291901,-0.378580898046494,-0.842277407646179,0.430625021457672,-0.242257371544838,0.139322429895401,-0.45245635509491,0.222291350364685,0.172177970409393,0.997768461704254,-0.517890393733978,0.0138242589309812
"hsa-let-7a-3",-1.26759266853333,-1.12241947650909,-0.977067232131958,-1.29096221923828,-0.0831410363316536,-0.852411508560181,-0.830450415611267,-0.646996259689331,-1.01463961601257,0.551516830921173,-0.229483708739281,-0.14569528400898,-0.495595246553421,-1.17845916748047,1.52187430858612,-0.621624648571014,-0.917105734348297,0.971699833869934,-0.00880808010697365,-0.88508003950119,-1.37935185432434,-0.159897953271866,-0.671539187431335,2.94333934783936,-0.965019166469574,-0.759275317192078,-1.12203073501587,-1.06009662151337,-1.09407448768616,-0.055367074906826,2.12449526786804,0.969763040542603,-1.32556474208832,0.158195555210114,0.432449460029602,-0.314244419336319,-0.0902283266186714,-0.455001592636108,0.961596608161926,-0.484841614961624,0.172980830073357,1.00724279880524,-1.38728702068329,-0.464944332838058,2.98094940185547,3.14539289474487,1.03387832641602,-0.030490892007947,-0.082170657813549,-1.00212204456329,-0.415156900882721,-1.13493013381958,-1.24710035324097,-0.164168834686279,-0.516177237033844,-0.970450937747955,-1.23085355758667,-0.896769642829895,-0.876614511013031,0.550922155380249,-0.744261920452118,-0.378529012203217,0.43926528096199,1.53297305107117,-0.0289199221879244,-1.10492146015167,0.144594147801399,-0.629150867462158,-0.815665900707245,-0.322062313556671,0.523510813713074,-0.544822990894318,-0.665287852287292,-0.943206012248993,-1.34145188331604,3.81964540481567,-0.369072109460831,1.25268840789795,-0.376067817211151,-0.842521905899048,0.431297600269318,-0.259142369031906,0.10033094137907,-0.439921319484711,0.216775238513947,0.155985727906227,1.0034590959549,-0.522032856941223,0.0022537240292877
"hsa-let-7b",-0.34868660569191,-0.2727932035923,-0.0630379989743233,-0.559196770191193,0.313552647829056,-0.241847321391106,-0.84085351228714,-0.369766771793365,-0.72889643907547,0.155797645449638,-0.727733314037323,-0.380781441926956,-0.911123335361481,-0.359212130308151,0.60955023765564,0.968820989131927,-0.880685150623322,1.04077517986298,-0.396800637245178,-0.111768543720245,-0.482009142637253,-0.219478026032448,-0.581762671470642,-0.223051011562347,-1.01717507839203,1.06121802330017,-0.707178056240082,-0.0974645838141441,-0.67600953578949,-0.264881700277328,0.308107614517212,-0.351898491382599,-1.08191871643066,-1.0816947221756,-0.415691375732422,-0.406635612249374,-0.558167576789856,-0.872953295707703,-0.367026329040527,-0.57692939043045,-0.887466669082642,-0.494892776012421,-0.667596817016602,-0.516743779182434,1.06752145290375,1.36993956565857,-0.0188293997198343,-0.228244408965111,-0.954882323741913,-0.675312459468842,0.220294624567032,-1.00537824630737,-1.14602541923523,-0.488326072692871,-0.42760095000267,-0.792903423309326,-0.753817856311798,-0.933312475681305,-1.12372267246246,0.100105084478855,-0.82893294095993,-0.826151907444,-0.114229924976826,-0.01122862752527,-0.867943286895752,-1.08277344703674,-0.80948805809021,-0.846417903900146,-0.847984969615936,1.32443618774414,0.788173258304596,0.50778329372406,-0.543056905269623,-0.276790112257004,-0.60128378868103,1.24296939373016,0.0833765044808388,0.428609371185303,-0.0475265383720398,-0.593139111995697,0.0425753146409988,-0.0859135016798973,1.66092216968536,0.761727869510651,-0.27312496304512,-0.222184628248215,0.126847267150879,1.49516081809998,0.0732384771108627
"hsa-let-7c",-1.04779970645905,-0.453213334083557,-1.05224704742432,0.563964128494263,1.04409873485565,-1.00965237617493,-0.574609100818634,-0.248046040534973,-0.617861449718475,-0.844924747943878,-0.778450131416321,1.05932092666626,-1.06189823150635,-0.567433297634125,-0.361140817403793,1.16542458534241,-0.763658940792084,1.12393617630005,-0.438096851110458,-0.113210074603558,-1.02888405323029,0.106920547783375,-1.07158637046814,0.474702596664429,-1.07218945026398,-0.652567088603973,-0.440439075231552,-0.753775298595428,-0.465143769979477,-1.13919591903687,1.16259729862213,0.0783196464180946,-0.953574240207672,-1.05406296253204,0.354891210794449,-0.607528746128082,-0.880611956119537,-0.862135231494904,-1.20068871974945,0.00940506998449564,-0.531452775001526,-0.059136938303709,-0.806444942951202,-1.09176754951477,-0.854096293449402,-0.744049608707428,-0.756679952144623,0.123682200908661,-1.01859593391418,-0.884065687656403,0.15303847193718,-0.519607126712799,-1.1115345954895,-0.697209537029266,-0.389833122491837,-0.515827298164368,1.47551620006561,-0.625543475151062,-0.836390256881714,-0.799618482589722,-0.623621225357056,-1.03137814998627,-0.854521214962006,-0.810588181018829,-0.00724194245412946,-0.644500017166138,-0.95471179485321,-1.14317643642426,-0.589620769023895,0.177115485072136,1.79886484146118,0.704846382141113,-0.00794082786887884,0.573271453380585,-0.150660544633865,2.39452719688416,0.68628454208374,1.96245515346527,0.594938099384308,-0.00352612091228366,1.20895266532898,-0.423702508211136,2.04367160797119,1.73171508312225,0.913019597530365,1.15426564216614,1.63530766963959,1.17659974098206,2.04423332214355
"hsa-let-7d",1.49298274517059,0.327772706747055,0.0471966862678528,0.290667057037354,-0.519817769527435,-0.469936192035675,-0.155195370316505,0.292244642972946,-0.221639275550842,-0.302457898855209,1.74059295654297,-0.535673439502716,-0.248961165547371,-0.314901471138,0.104908838868141,0.763016939163208,0.551517069339752,-0.900132238864899,0.693670809268951,1.06352686882019,0.337179034948349,0.0915998741984367,2.6769859790802,0.318510621786118,-0.57539427280426,0.536974370479584,-0.94527792930603,1.16522133350372,-0.0578598007559776,1.57833790779114,-0.863769352436066,-0.999739229679108,0.0402711257338524,6.01833057403564,-0.945509791374207,2.17263722419739,-0.869110405445099,0.186188846826553,3.51727485656738,-1.17932403087616,-0.0318328179419041,1.07854437828064,1.04185700416565,1.98792600631714,-0.063389465212822,0.64061826467514,-0.109199717640877,0.727232038974762,-0.504454612731934,-0.775793552398682,0.666593849658966,-0.82353264093399,-0.883103907108307,-0.644426047801971,2.05795097351074,1.85965609550476,0.000222533475607634,-0.359416425228119,-0.527690768241882,-0.11145643144846,-0.791827857494354,-0.312614619731903,0.371978491544724,1.43641555309296,0.299002200365067,-0.0638351067900658,0.731083393096924,-0.27038511633873,-0.58892560005188,-0.298723518848419,0.403390735387802,-0.747100234031677,0.0413132533431053,-0.399733155965805,-0.858224213123322,-0.325708299875259,-0.483401507139206,-0.560302138328552,0.0450547263026237,0.0462636165320873,0.508425772190094,0.6269371509552,-0.504345178604126,-0.641734421253204,-0.790487468242645,0.58244663476944,-0.751696407794952,-0.94343888759613,-0.899300813674927
"hsa-let-7e",-0.205283880233765,-0.549387633800507,-0.654483079910278,-0.458876192569733,-0.707895755767822,-0.747436583042145,1.77230715751648,-0.115849517285824,-0.552150189876556,1.22749876976013,-0.203953757882118,0.872165024280548,-1.14644587039948,-0.464832633733749,0.342438340187073,-0.114255227148533,0.432565093040466,-0.339837551116943,-0.581225275993347,-0.823995888233185,-0.748330295085907,-0.149741873145103,0.613478899002075,12.3085565567017,-0.77405446767807,-0.327770709991455,-0.400642067193985,-0.166886925697327,-0.179742082953453,-0.25903245806694,0.709909915924072,1.36787664890289,-1.25985610485077,0.334724575281143,-0.262804538011551,-0.851332128047943,-0.454485237598419,-0.120374508202076,-0.158784464001656,-0.920907616615295,-0.392094850540161,-0.628279328346252,0.488161206245422,1.41232943534851,1.03181004524231,1.86520946025848,0.192204639315605,-0.304854512214661,-0.60207986831665,-0.709676027297974,0.419105678796768,-0.192274689674377,-0.38229638338089,0.512860715389252,0.711671113967896,0.60174560546875,-0.83500462770462,-0.695763468742371,-1.19722414016724,0.53484982252121,-0.383424907922745,-0.547737121582031,-0.390618473291397,-0.471586734056473,-0.441033691167831,-0.639496624469757,-0.0176252443343401,-0.155963078141212,-0.204805329442024,-0.548792362213135,0.51856255531311,-0.510609865188599,-0.186580866575241,-0.843633413314819,-0.968019843101501,0.140882074832916,-0.891160130500793,-0.0973163694143295,-0.112887799739838,-0.50257283449173,-0.378594160079956,-0.981506049633026,-0.636804938316345,-0.423580318689346,-0.530411183834076,-0.181790605187416,0.233643397688866,-0.600229203701019,-0.579055905342102
"hsa-let-7f-1",-0.797603189945221,-0.874985873699188,-0.970831573009491,-0.719294667243958,-0.485330104827881,-0.809148073196411,-0.503131330013275,-0.565881490707397,-0.675053060054779,0.374493777751923,1.55186522006989,0.166886821389198,0.545257329940796,-0.987162888050079,1.49020528793335,-0.8154017329216,0.753965735435486,0.00539518194273114,-0.0646421313285828,-0.713237643241882,-0.905985355377197,-0.133624017238617,0.406274884939194,3.61376237869263,-0.31834489107132,-0.825055539608002,-1.12316811084747,-0.880557239055634,-0.711897373199463,0.358232468366623,1.70872056484222,0.952888607978821,-0.321550101041794,3.33330678939819,0.238493144512177,0.633623242378235,1.30298221111298,1.56726777553558,0.405786454677582,-0.313499480485916,1.8995817899704,5.16730213165283,-0.775116980075836,0.117071911692619,3.62462306022644,3.16687560081482,1.55247938632965,1.15465080738068,-1.14881062507629,-0.893802165985107,-0.922760903835297,-0.624472737312317,-1.01601791381836,-0.233192309737206,-0.500859439373016,-0.560959100723267,-0.682231545448303,0.00580593012273312,0.219326496124268,-0.11567710340023,0.390118658542633,0.171649068593979,1.95717585086823,2.54737186431885,1.08934736251831,-0.380066961050034,1.46362733840942,0.223706871271133,-0.354251742362976,-1.01635098457336,-0.432188272476196,-0.787404179573059,-0.566230952739716,-0.987985789775848,-1.07857298851013,2.50873279571533,-0.706636369228363,-0.0577098950743675,-0.741785883903503,-0.709029912948608,-0.0440627299249172,-0.338632792234421,-0.673099279403687,-0.901616513729095,-0.00304728001356125,-0.331502497196198,0.919093668460846,-0.905437469482422,-0.425330936908722
"hsa-let-7f-2",-0.799008786678314,-0.895381331443787,-0.946848094463348,-0.737112283706665,-0.469719588756561,-0.796683430671692,-0.516931593418121,-0.540069937705994,-0.662721574306488,0.369740515947342,1.57208287715912,0.162166699767113,0.534899413585663,-1.00930392742157,1.49065959453583,-0.851275563240051,0.742844820022583,-0.01243638060987,-0.0345223844051361,-0.700040996074677,-0.886713624000549,-0.139486908912659,0.377411007881165,3.57538247108459,-0.281205773353577,-0.81453412771225,-1.1149275302887,-0.887920141220093,-0.703884840011597,0.361126333475113,1.73554027080536,0.989242255687714,-0.313009589910507,3.37116265296936,0.251815140247345,0.645065248012543,1.32271802425385,1.62959456443787,0.45960944890976,-0.314152896404266,2.04003620147705,5.18199300765991,-0.779206216335297,0.153640329837799,3.63528513908386,3.17144179344177,1.54735243320465,1.1601037979126,-1.17206692695618,-0.892132997512817,-0.902157306671143,-0.624921321868896,-1.01916062831879,-0.237501427531242,-0.49580854177475,-0.57030838727951,-0.6937096118927,0.0170734860002995,0.257348537445068,-0.14537039399147,0.384777009487152,0.182242900133133,1.90918028354645,2.54528880119324,1.12026190757751,-0.342437386512756,1.46843194961548,0.186330854892731,-0.332804620265961,-1.02518284320831,-0.435488849878311,-0.768023431301117,-0.583425283432007,-0.980735182762146,-1.07951426506042,2.51589512825012,-0.712027132511139,-0.0635403990745544,-0.743227481842041,-0.716758131980896,-0.0454993844032288,-0.357008904218674,-0.70828515291214,-0.909998178482056,0.0148846702650189,-0.344013094902039,0.882755637168884,-0.911402583122253,-0.415230423212051
"hsa-let-7g",-1.04005122184753,0.10866654664278,0.148027077317238,0.190197676420212,-0.652139484882355,0.346589833498001,-0.354040414094925,0.122049354016781,-1.05382239818573,-0.802222967147827,0.350826650857925,-0.542791366577148,0.336319983005524,-0.728033542633057,0.372287213802338,1.74282109737396,0.594818711280823,-0.575934588909149,0.0454704537987709,1.27185702323914,-0.31721293926239,0.420362681150436,-0.181031808257103,1.23074853420258,-0.486466705799103,-0.158577159047127,-0.766489207744598,0.816146314144135,-0.308192104101181,0.261972427368164,-0.252692043781281,-0.058971356600523,0.305021017789841,5.63539934158325,-0.614858448505402,2.4651894569397,0.459551513195038,0.156560808420181,1.69748783111572,-0.606798231601715,1.21541523933411,3.49633288383484,-0.472361445426941,1.91705358028412,0.147734895348549,-0.258091002702713,0.342071771621704,1.70824360847473,-0.346724718809128,-1.09937024116516,3.65389060974121,-0.658822178840637,-0.482217639684677,-0.935495257377625,0.0965225175023079,-0.139633983373642,-0.397566676139832,0.169549897313118,0.258568972349167,0.0532259419560432,-0.448062032461166,0.126791521906853,0.70311576128006,0.339499831199646,1.10769891738892,-0.050500426441431,-0.165441021323204,-0.360891431570053,-0.180676355957985,-1.37275362014771,-0.734299421310425,-1.19942855834961,0.200177058577538,-0.603152513504028,-1.36193478107452,2.10825705528259,-0.508560597896576,-0.679638564586639,-0.479643434286118,-0.46915677189827,0.285531222820282,0.290184885263443,-0.475249826908112,-1.13020551204681,-0.552747130393982,0.696731626987457,-0.0841536819934845,-1.20356392860413,-0.977290630340576
