"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89"
"DGAT2L6",-0.0737596079707146,-0.0644826665520668,-0.084311231970787,-0.084311231970787,-0.0648884773254395,-0.0743751749396324,-0.084311231970787,-0.084311231970787,-0.0472304150462151,-0.072008416056633,-0.084311231970787,-0.084311231970787,-0.084311231970787,-0.0739515572786331,-0.084311231970787,-0.084311231970787,-0.0744497627019882,-0.057810865342617,-0.0602112524211407,-0.084311231970787,-0.084311231970787,-0.084311231970787,-0.084311231970787,-0.084311231970787,-0.084311231970787,-0.084311231970787,-0.084311231970787,15.0943555831909,-0.084311231970787,-0.084311231970787,0.00462381727993488,-0.084311231970787,-0.084311231970787,-0.0633108168840408,-0.0745019316673279,-0.084311231970787,-0.0689879879355431,-0.0749832168221474,-0.084311231970787,-0.0744973570108414,-0.0735200271010399,-0.0454220771789551,-0.0555832758545876,-0.084311231970787,-0.0754145383834839,-0.084311231970787,-0.07498449832201,-0.084311231970787,-0.084311231970787,-0.084311231970787,-0.084311231970787,-0.041717778891325,-0.084311231970787,-0.084311231970787,-0.084311231970787,-0.084311231970787,-0.0730830058455467,-0.084311231970787,-0.084311231970787,-0.084311231970787,-0.084311231970787,-0.084311231970787,-0.0768313333392143,-0.0530789121985435,-0.0672307685017586,-0.048945426940918,-0.084311231970787,-0.0698734521865845,-0.0102863609790802,-0.0641457587480545,-0.0696957260370255,-0.0471210666000843,-0.0707731917500496,-0.0142492176964879,-0.0229653380811214,-0.0625576451420784,-0.0662710294127464,-0.084311231970787,-0.053638007491827,-0.0694196745753288,-0.05770118907094,-0.0559455081820488,-0.084311231970787,-0.084311231970787,-0.0538161396980286,-0.0641573965549469,-0.0631957650184631,-0.084311231970787,-0.0598009526729584
"PRM1",-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,15.0997838973999,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0609268806874752,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0622136555612087,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0603408701717854,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0607332810759544,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516,-0.0663374960422516
"MYT1L-AS1",-0.0423797331750393,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,15.0996055603027,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0440884418785572,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028,-0.0666678994894028
"ZNF970P",-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.00904988963156939,-0.0694617033004761,-0.0694617033004761,15.0974950790405,-0.0694617033004761,-0.0694617033004761,-0.00121408072300255,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761,-0.0694617033004761
"MPHOSPH10P4",-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,15.0998125076294,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087,-0.0659380480647087
"STATH",-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0285556204617023,-0.0677913725376129,-0.0677913725376129,-0.0560674443840981,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0498112179338932,15.0995788574219,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.065641812980175,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0660099685192108,-0.0654092878103256,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0658199191093445,-0.0656235888600349,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0506786853075027,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0654344782233238,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0468777939677238,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.064073771238327,-0.0657659098505974,-0.0677913725376129,-0.0677913725376129,-0.0650717988610268,-0.0642727836966515,-0.0657374709844589,-0.0634214207530022,-0.0659793764352798,-0.0677913725376129,-0.0616296119987965,-0.0647998973727226,-0.0660095289349556,-0.0677913725376129,-0.0677913725376129,-0.0677913725376129,-0.0637073889374733,-0.0677913725376129,-0.0663774535059929,-0.0677913725376129,-0.0677913725376129
"MTCO2P4",-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,15.0964527130127,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,0.00700285984203219,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364,-0.0697772428393364
"TAF11L2",-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0165544543415308,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,15.0997323989868,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732,-0.0661542862653732
"SEMG2",-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0576071925461292,-0.0674543157219887,-0.0617478750646114,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0650517418980598,-0.0311283897608519,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,0.039058294147253,-0.0674543157219887,-0.0674543157219887,-0.0649726986885071,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0642648115754128,-0.0523678548634052,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0651793852448463,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.065178319811821,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.062977135181427,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0640228316187859,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,15.0993518829346,-0.0674543157219887,-0.0674543157219887,-0.064612127840519,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0592524223029613,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887,-0.0674543157219887
"AWAT1",-0.0691152140498161,-0.0694522708654404,-0.0746954381465912,-0.0746954381465912,-0.0644237250089645,-0.0746954381465912,-0.0746954381465912,-0.0746954381465912,-0.0648903474211693,-0.0746954381465912,-0.0746954381465912,-0.0746954381465912,-0.0746954381465912,-0.0582592971622944,-0.0746954381465912,-0.0746954381465912,-0.0746954381465912,-0.0653522983193398,-0.0683228075504303,-0.0746954381465912,-0.0682573243975639,-0.0680532306432724,-0.0690364837646484,-0.0746954381465912,-0.0746954381465912,-0.0746954381465912,-0.0710588470101357,15.0967769622803,-0.0746954381465912,-0.0746954381465912,-0.0276621598750353,-0.0746954381465912,-0.0746954381465912,-0.0746954381465912,-0.0746954381465912,-0.0746954381465912,0.0792747512459755,-0.0450967215001583,-0.0746954381465912,-0.0643153116106987,-0.0746954381465912,-0.0746954381465912,-0.0696311816573143,-0.0746954381465912,-0.0699904263019562,-0.0689233914017677,-0.0746954381465912,-0.0746954381465912,-0.0668704584240913,-0.0746954381465912,-0.0746954381465912,-0.0746954381465912,-0.0746954381465912,-0.066514790058136,-0.0746954381465912,-0.0682142525911331,-0.0746954381465912,-0.0746954381465912,-0.0746954381465912,-0.0635032281279564,-0.0746954381465912,-0.0746954381465912,-0.0707397013902664,-0.0691897049546242,-0.0746954381465912,-0.0746954381465912,-0.0746954381465912,-0.0746954381465912,-0.0746954381465912,-0.0693631917238235,-0.0746954381465912,-0.0550274290144444,-0.0460570827126503,-0.0746954381465912,-0.047659806907177,-0.0401823036372662,-0.0651548802852631,-0.0746954381465912,-0.0665846765041351,-0.0746954381465912,-0.060622725635767,-0.0596942342817783,-0.0746954381465912,-0.0275492481887341,-0.0424407944083214,-0.053378738462925,-0.0486393123865128,-0.0746954381465912,-0.0746954381465912
