"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89"
"1433BETA",0.0848269984126091,0.527570009231567,-0.147900000214577,0.00274810008704662,0.213679999113083,0.202370002865791,0.593230009078979,0.315849989652634,0.405189990997314,-0.0275970008224249,-0.00920139998197556,0.00635079992935061,0.107739999890327,0.0197780001908541,-0.0635740011930466,0.0858599990606308,0.118510499596596,0.153433501720428,0.0298839993774891,-0.12449000030756,0.269679993391037,0.057217501103878,0.00555629981681705,0.345239996910095,-0.0299709998071194,0.0152735002338886,-0.169589996337891,0.0286299996078014,0.770489990711212,0.0432350002229214,0.218239992856979,0.209079995751381,0.236589998006821,-0.113909997045994,0.328370004892349,-0.12171970307827,0.0740600004792213,0.230619996786118,0.191210001707077,0.378309994935989,0.284144997596741,0.653230011463165,0.547930002212524,0.0715890005230904,-0.093979999423027,0.0427189990878105,0.0850799977779388,-0.14656999707222,-0.125750005245209,0.0151549996808171,0.296400010585785,0.016992000862956,0.0859630033373833,-0.128189995884895,0.104510001838207,0.0338880009949207,0.304899990558624,-0.0952820032835007,0.251120001077652,0.179959997534752,-0.0936620011925697,0.190080001950264,-0.101439997553825,0.252110004425049,0.046204000711441,-0.0136789996176958,-0.0691139996051788,-0.107610002160072,0.51214998960495,0.0192770007997751,0.625060021877289,0.307590007781982,0.471720010042191,0.442039996385574,0.255820006132126,0.41839000582695,0.593779981136322,0.307880014181137,0.500559985637665,0.494069993495941,-0.0128619996830821,0.559960007667542,0.179769992828369,0.400799989700317,0.381469994783401,0.083857998251915,0.103459998965263,0.50230997800827,0.67451000213623
"1433EPSILON",0.150319993495941,-0.119039997458458,-0.0884210020303726,-0.0139039997011423,0.0790155008435249,0.0320859998464584,0.359930008649826,-0.145429998636246,0.291519999504089,0.018138999119401,0.0512260012328625,-0.12041000276804,0.0834399983286858,0.0470150001347065,0.036081999540329,-0.13170999288559,-0.0104435002431273,0.0473065003752708,0.0802552476525307,-0.182480007410049,0.209779992699623,-0.0214649997651577,-0.197119995951653,0.290160000324249,0.252220004796982,-0.0283094998449087,-0.0233830008655787,0.114480003714561,0.452179998159409,0.123954996466637,-0.212149992585182,0.0348189994692802,-0.0901039987802505,-0.10869999974966,-0.00834800023585558,-0.0118734501302242,-0.0287970006465912,-0.0756390020251274,0.285030007362366,0.202600002288818,-0.00716499984264374,0.112620003521442,0.571330010890961,-0.08177600055933,0.347550004720688,-0.145980000495911,-0.0743295028805733,-0.108649998903275,-0.0199689995497465,0.154440000653267,0.0348270013928413,0.101350001990795,-0.0375749990344048,-0.0921140015125275,0.158429995179176,-0.105460003018379,0.0916400030255318,0.058228000998497,0.351990014314651,0.193419992923737,0.00767169985920191,0.12109000235796,-0.048055000603199,0.0805030018091202,-0.0487900003790855,-0.188820004463196,0.254790008068085,0.253580003976822,0.181500002741814,-0.133059993386269,-0.0608970001339912,0.0937590003013611,0.0608570016920567,-0.0401550009846687,0.123630002140999,0.200369998812675,0.260039985179901,0.226429998874664,0.139469996094704,0.131679996848106,0.0695109963417053,0.299719989299774,0.0160160008817911,0.00396039988845587,0.107050001621246,0.0539360009133816,0.0418369993567467,-0.136649996042252,0.352420002222061
"1433ZETA",0.580919981002808,0.0572899989783764,0.0192789994180202,0.0918309986591339,-0.291045010089874,0.0304409991949797,-0.459950000047684,0.311230003833771,-0.756370007991791,0.295980006456375,-0.193939998745918,0.0367669984698296,0.0374829992651939,0.142350003123283,-0.235269993543625,0.335379987955093,0.0403311997652054,0.494385004043579,0.296590000391006,0.0412239991128445,0.886290013790131,-0.0810170024633408,0.190999999642372,-0.0501220002770424,0.584969997406006,0.121711000800133,-0.0745199993252754,0.0272039994597435,-0.264759987592697,-0.0358784012496471,0.0578560009598732,0.44038000702858,-0.0781880021095276,0.341179996728897,-0.431309998035431,0.0758500993251801,-0.454109996557236,-0.445080012083054,1.1956000328064,-0.120980001986027,0.13238500058651,0.0640980005264282,1.60179996490479,0.00386749999597669,0.501320004463196,0.042773999273777,0.423565000295639,0.198070004582405,0.0105510000139475,-0.309819996356964,-0.190310001373291,0.121840000152588,0.0112439999356866,0.0953409969806671,-0.133149996399879,-0.187270000576973,0.185440003871918,-0.42849999666214,0.381000012159348,0.238979995250702,-0.21815000474453,0.154679998755455,-0.129610002040863,0.19734999537468,-0.0470970012247562,0.103339999914169,0.290650010108948,0.438969999551773,0.662039995193481,0.0713689997792244,-0.631449997425079,-0.0735590010881424,-0.189339995384216,-0.413199990987778,-0.0548200011253357,-0.559230029582977,-0.685069978237152,-0.161339998245239,0.0630630031228065,0.0741500034928322,-0.0919300019741058,-0.33542001247406,-0.0632819980382919,-0.149930000305176,-0.17127999663353,-0.228300005197525,-0.250860005617142,-0.13688999414444,-0.837480008602142
"4EBP1",2.26430010795593,-0.289909988641739,-0.237340003252029,0.534189999103546,0.346914499998093,0.656750023365021,-0.647989988327026,-0.608630001544952,-0.407270014286041,-0.0263669993728399,0.725099980831146,-0.0563660003244877,-0.00678690010681748,-0.266169995069504,0.426614999771118,-0.892270028591156,-0.139050006866455,0.0664749965071678,-0.248025000095367,-0.117169998586178,1.04209995269775,-0.186004996299744,1.19509994983673,-0.384750008583069,1.13810002803802,-0.208975002169609,0.187999993562698,-0.218769997358322,-0.617299973964691,0.0100470995530486,-0.462060004472733,1.15110003948212,-0.401019990444183,0.74193000793457,-0.221489995718002,0.939234972000122,-0.0447829999029636,-0.321289986371994,0.807039976119995,0.0185979995876551,0.749684989452362,0.571619987487793,1.02030003070831,-0.201247498393059,0.294250011444092,-0.599120020866394,-0.0727275013923645,0.40310001373291,0.0168360006064177,-0.139919996261597,0.0342210009694099,-0.544990003108978,-0.617850005626678,-0.451059997081757,-0.459650009870529,0.59086000919342,0.111270003020763,-0.367559999227524,0.0203690007328987,0.271039992570877,-0.0621419996023178,0.821820020675659,-0.119939997792244,-0.297190010547638,0.333440005779266,0.115419998764992,0.31207999587059,0.628740012645721,-0.479059994220734,-0.355699986219406,-0.848860025405884,-0.523360013961792,-0.546989977359772,-0.299560010433197,-0.309489995241165,-0.356499999761581,-0.184049993753433,-0.355949997901917,-0.264070004224777,-0.377020001411438,-0.0677089989185333,0.258240014314651,-0.19344000518322,-0.517099976539612,-0.822610020637512,0.0635050013661385,-0.674979984760284,-0.483729988336563,-0.580810010433197
"4EBP1_pS65",0.142839998006821,-0.292010009288788,0.064020998775959,-0.101460002362728,-0.0542005002498627,0.013154000043869,-0.0709509998559952,-0.264039993286133,-0.479600012302399,-0.458530008792877,0.030171999707818,-0.134069994091988,-0.42807000875473,-0.0884139984846115,0.278560012578964,-0.315250009298325,-0.218689993023872,-0.220880001783371,-0.25747999548912,-0.281040012836456,-0.143289998173714,-0.0369260497391224,-0.345690011978149,-0.397229999303818,0.282200008630753,-0.13561150431633,-0.12347000092268,-0.121160000562668,-0.143494993448257,-0.376190006732941,-0.540199995040894,-0.207990005612373,-0.412629991769791,0.167699992656708,-0.851790010929108,0.108552500605583,-0.140190005302429,-0.30265000462532,-0.237389996647835,-0.444649994373322,0.265329986810684,-0.276600003242493,-0.215759992599487,-0.049406498670578,0.240960001945496,-0.015196000225842,-0.118474997580051,-0.260089993476868,0.069021999835968,-0.0736029967665672,-0.364939987659454,-0.671519994735718,0.404229998588562,-0.404940009117126,-0.387809991836548,0.135000005364418,0.0320589989423752,-0.161899998784065,-0.445650011301041,-0.393279999494553,-0.255569994449615,-0.0907569974660873,-0.175209999084473,-0.374150007963181,-0.267720013856888,0.157360002398491,-0.366800010204315,-0.494949996471405,-0.349620014429092,-0.404850006103516,-0.273400008678436,-0.394890010356903,-0.338330000638962,-0.263889998197556,-0.284880012273788,-0.230330005288124,-0.158820003271103,-0.279509991407394,-0.22511999309063,-0.0936079993844032,-0.345310002565384,-0.376870006322861,-0.503310024738312,-0.339579999446869,-0.19472000002861,-0.355239987373352,-0.693989992141724,-0.127090007066727,-0.0949229970574379
"4EBP1_pT37T46",1.11409997940063,-0.733060002326965,0.360029995441437,-0.0251219999045134,-0.162440001964569,0.496950000524521,-0.209979996085167,-0.483960002660751,-0.166119992733002,0.439390003681183,0.216810002923012,0.407169997692108,0.241270005702972,0.85275000333786,1.26740002632141,-0.371410012245178,0.604900002479553,-0.535274982452393,0.224625006318092,0.268200010061264,-0.849240005016327,0.448015004396439,0.343019992113113,0.0232340004295111,0.216490000486374,0.283509999513626,0.504739999771118,-0.205259993672371,-0.909714996814728,0.0102749997749925,-0.13230000436306,-0.157330006361008,0.277280002832413,0.361090004444122,-0.0165139995515347,0.507780015468597,0.542519986629486,-0.0699630007147789,-0.0229509994387627,-0.709479987621307,0.980315029621124,-0.457210004329681,-1.21930003166199,0.372599989175797,0.78574001789093,1.21679997444153,1.02059495449066,0.511990010738373,-0.534189999103546,0.189079999923706,-0.032650999724865,-0.13866999745369,-0.572950005531311,1.10669994354248,0.549359977245331,1.44860005378723,0.794210016727448,-0.193130001425743,-1.26600003242493,-0.590269982814789,0.1424899995327,1.68369996547699,0.337570011615753,0.463070005178452,0.402220010757446,0.881410002708435,0.567139983177185,0.300249993801117,-0.728120028972626,-0.291310012340546,0.331110000610352,-0.620069980621338,-0.0759899988770485,0.0740410014986992,0.208609998226166,-1.39699995517731,-0.478760004043579,-1.17260003089905,-0.271959990262985,-1.12150001525879,-0.507979989051819,-1.01919996738434,-1.20159995555878,-0.285160005092621,0.496100008487701,-0.876680016517639,0.327499985694885,0.743740022182465,-0.652779996395111
"4EBP1_pT70",0.445789992809296,-0.204679995775223,-0.197750002145767,-0.167400002479553,-0.256123512983322,0.0600490011274815,-0.396019995212555,-0.179619997739792,0.332769989967346,-0.216949999332428,0.159610003232956,-0.00243009999394417,-0.17985999584198,0.0464730001986027,-0.0380499996244907,-0.359180003404617,0.260960012674332,-0.0386294983327389,0.0463575012981892,-0.108850002288818,0.0615260004997253,-0.146073997020721,-0.00306880008429289,-0.489800006151199,0.202849999070168,0.0964255034923553,-0.0451730005443096,-0.0205920003354549,-0.0618100017309189,-0.0983392521739006,-0.169970005750656,-0.107809998095036,-0.0760079994797707,0.0854730010032654,0.20176999270916,0.254985004663467,0.116899996995926,-0.0773610025644302,0.360029995441437,-0.412409991025925,0.261539995670319,-0.0377239994704723,0.443699985742569,0.00732199987396598,0.164259999990463,-0.0566180013120174,-0.119915500283241,0.373050004243851,-0.129510000348091,0.284579992294312,-0.187800005078316,-0.0706669986248016,-0.189150005578995,-0.00468260003253818,0.229409992694855,0.244829997420311,0.286220014095306,-0.147190004587173,-0.19234000146389,-0.0407489985227585,-0.025883000344038,0.0270070005208254,-0.081156000494957,-0.407029986381531,-0.00126020004972816,0.0229310002177954,-0.282660007476807,-0.42221999168396,0.0709670037031174,-0.432099997997284,-0.0495669990777969,-0.227249994874001,-0.200220003724098,0.116499997675419,-0.0931719988584518,0.019353000447154,0.239280000329018,-0.182799994945526,-0.171350002288818,-0.160030007362366,-0.2707299888134,0.211999997496605,-0.219180002808571,-0.288190007209778,-0.106669999659061,-0.273680001497269,-0.292730003595352,0.0188350006937981,0.110930003225803
"53BP1",-0.321170002222061,-0.622300028800964,-0.721740007400513,-0.0701299980282784,-0.978219985961914,-0.247920006513596,-0.646600008010864,-0.586239993572235,-1.05280005931854,-0.203030005097389,-0.497770011425018,-0.0393260009586811,-0.566009998321533,-0.434500008821487,-0.249294996261597,-0.435310006141663,-0.799459993839264,-1.28964996337891,-0.430680006742477,0.00467139994725585,-1.44939994812012,-0.348414987325668,-0.216780006885529,-1.08700001239777,-0.724229991436005,-0.761025011539459,0.676029980182648,-0.350069999694824,-1.08115005493164,0.103531002998352,-0.940999984741211,-0.635519981384277,-0.885800004005432,-0.234789997339249,-0.864120006561279,-0.327389985322952,-0.014898999594152,-0.107790000736713,-1.37440001964569,-0.961679995059967,-0.836255013942719,0.0345279984176159,-1.85020005702972,-0.894505023956299,-1.32290005683899,-0.718559980392456,-0.466244995594025,-0.221650004386902,-0.180030003190041,-0.637650012969971,0.671589970588684,-0.603929996490479,-0.471569985151291,-0.0997949987649918,-0.447750002145767,-0.0773010030388832,0.249909996986389,-0.845430016517639,-0.744880020618439,-0.821189999580383,-0.342429995536804,-0.965830028057098,-0.732739984989166,-0.941850006580353,-0.50203001499176,-0.192570000886917,-0.149700000882149,-0.147019997239113,-1.91380000114441,0.0162829998880625,-0.995580017566681,-0.73938000202179,-0.822359979152679,-0.78643000125885,-1.24670004844666,-0.733009994029999,-0.857890009880066,-0.7292799949646,-1.1110999584198,-0.971849977970123,-0.045720998197794,-1.1414999961853,-0.225270003080368,-0.883790016174316,-0.835990011692047,0.107260003685951,-0.848330020904541,-1.31719994544983,-1.14629995822906
"ACC1",-0.556949973106384,-0.562110006809235,0.674910008907318,0.503159999847412,-0.735724985599518,-0.230680003762245,-0.422380000352859,-0.941779971122742,-1.59469997882843,-0.330379992723465,-0.601989984512329,-0.488380014896393,-0.537880003452301,0.138549998402596,-1.06572997570038,0.0138189997524023,0.772045016288757,-0.605189979076385,-0.0174649991095066,0.5346400141716,-0.764569997787476,-0.312819987535477,0.0713300034403801,-0.504279971122742,0.43002000451088,-0.0619744993746281,-0.281370013952255,0.584330022335052,-0.567025005817413,-1.08169996738434,0.487320005893707,0.646489977836609,-0.421770006418228,0.817489981651306,-0.0110689997673035,0.332044988870621,0.0603680014610291,0.467979997396469,-0.936770021915436,-0.454640001058578,1.63129997253418,-0.0475220009684563,-0.977880001068115,-0.442449986934662,-0.330799996852875,-1.31949996948242,-0.634549975395203,0.784460008144379,-0.618910014629364,-0.414920002222061,-0.436679989099503,0.807940006256104,0.206169992685318,0.481489986181259,-0.556550025939941,0.487199991941452,0.172959998250008,-0.887489974498749,0.104309998452663,-0.0506150014698505,0.348049998283386,-0.344949990510941,-0.0879610031843185,0.470860004425049,-0.139410004019737,-0.327960014343262,0.439359992742538,0.0123720001429319,-0.240920007228851,-0.202900007367134,-0.656210005283356,-0.652649998664856,-0.970809996128082,-0.151850000023842,0.233830004930496,-1.01839995384216,-0.0602990016341209,0.386900007724762,0.104060001671314,0.133780002593994,0.135030001401901,-0.68010002374649,-0.423660010099411,1.06089997291565,-0.734019994735718,0.527679979801178,-0.0811719968914986,0.0690400004386902,-1.76080000400543
"ACC_pS79",-0.695110023021698,-0.580839991569519,0.924409985542297,0.743449985980988,-0.333200007677078,-0.126010000705719,-0.110409997403622,-0.34867000579834,-1.18519997596741,-0.199340000748634,-0.297529995441437,-0.120010003447533,-0.119460001587868,-0.256900012493134,-0.618515014648438,0.0601369999349117,0.321330010890961,-0.992214977741241,0.203991994261742,0.518220007419586,-1.11329996585846,0.0169450007379055,0.168789997696877,-0.100900001823902,0.626540005207062,-0.133554995059967,0.165189996361732,0.752219974994659,-0.348450005054474,-0.782079994678497,0.727299988269806,0.942950010299683,-0.227400004863739,1.10309994220734,0.356860011816025,0.580235004425049,0.683780014514923,1.04489994049072,-0.84893000125885,-0.27794998884201,1.81474995613098,-0.000471790001029149,-0.845459997653961,-0.166672006249428,-0.324930012226105,-1.01549994945526,-0.407249987125397,0.989139974117279,-0.864170014858246,-0.347429990768433,0.0362609997391701,0.927820026874542,0.173849999904633,0.638949990272522,-0.738039970397949,0.914279997348785,-0.281630009412766,-0.507059991359711,-0.330949991941452,-0.0266510006040335,0.352890014648438,-0.314440011978149,0.0750750005245209,0.765259981155396,0.0400630012154579,-0.0292399991303682,0.346320003271103,-0.20474000275135,-0.59254002571106,-0.323920011520386,0.0601430013775826,-0.509419977664948,-0.117799997329712,0.368400007486343,1.04560005664825,-0.20440000295639,0.488090008497238,0.646309971809387,0.62117999792099,0.461670011281967,0.0959590002894402,-0.0709950029850006,-0.277660012245178,0.92441999912262,-0.514230012893677,0.66686999797821,0.265819996595383,0.166629999876022,-0.718379974365234
